sep=;
"Series";"Time";"Value"
"controller";"2022-01-09T10:17:00+01:00";24584192
"controller";"2022-01-09T10:17:15+01:00";24584192
"controller";"2022-01-09T10:17:30+01:00";24584192
"controller";"2022-01-09T10:17:45+01:00";24584192
"controller";"2022-01-09T10:18:00+01:00";24584192
"controller";"2022-01-09T10:18:15+01:00";24584192
"controller";"2022-01-09T10:18:30+01:00";24584192
"controller";"2022-01-09T10:18:45+01:00";24584192
"controller";"2022-01-09T10:19:00+01:00";24584192
"controller";"2022-01-09T10:19:15+01:00";24584192
"controller";"2022-01-09T10:19:30+01:00";24584192
"controller";"2022-01-09T10:19:45+01:00";24584192
"controller";"2022-01-09T10:20:00+01:00";24584192
"controller";"2022-01-09T10:20:15+01:00";24584192
"controller";"2022-01-09T10:20:30+01:00";24584192
"controller";"2022-01-09T10:20:45+01:00";24584192
"controller";"2022-01-09T10:21:00+01:00";24584192
"controller";"2022-01-09T10:21:15+01:00";24584192
"controller";"2022-01-09T10:21:30+01:00";24584192
"controller";"2022-01-09T10:21:45+01:00";24584192
"controller";"2022-01-09T10:22:00+01:00";24567808
"controller";"2022-01-09T10:22:15+01:00";24567808
"controller";"2022-01-09T10:22:30+01:00";24567808
"controller";"2022-01-09T10:22:45+01:00";24567808
"controller";"2022-01-09T10:23:00+01:00";24567808
"controller";"2022-01-09T10:23:15+01:00";24567808
"controller";"2022-01-09T10:23:30+01:00";24567808
"controller";"2022-01-09T10:23:45+01:00";24567808
"controller";"2022-01-09T10:24:00+01:00";24567808
"controller";"2022-01-09T10:24:15+01:00";24567808
"controller";"2022-01-09T10:24:30+01:00";24567808
"controller";"2022-01-09T10:24:45+01:00";24567808
"controller";"2022-01-09T10:25:00+01:00";24567808
"controller";"2022-01-09T10:25:15+01:00";24567808
"controller";"2022-01-09T10:25:30+01:00";24567808
"controller";"2022-01-09T10:25:45+01:00";24567808
"controller";"2022-01-09T10:26:00+01:00";24567808
"controller";"2022-01-09T10:26:15+01:00";24567808
"controller";"2022-01-09T10:26:30+01:00";24567808
"controller";"2022-01-09T10:26:45+01:00";24567808
"controller";"2022-01-09T10:27:00+01:00";24567808
"controller";"2022-01-09T10:27:15+01:00";24567808
"controller";"2022-01-09T10:27:30+01:00";24567808
"controller";"2022-01-09T10:27:45+01:00";24567808
"controller";"2022-01-09T10:28:00+01:00";24567808
"controller";"2022-01-09T10:28:15+01:00";24567808
"controller";"2022-01-09T10:28:30+01:00";24567808
"controller";"2022-01-09T10:28:45+01:00";24567808
"controller";"2022-01-09T10:29:00+01:00";24567808
"controller";"2022-01-09T10:29:15+01:00";24567808
"controller";"2022-01-09T10:29:30+01:00";24567808
"controller";"2022-01-09T10:29:45+01:00";24567808
"controller";"2022-01-09T10:30:00+01:00";24567808
"controller";"2022-01-09T10:30:15+01:00";24567808
"controller";"2022-01-09T10:30:30+01:00";24567808
"controller";"2022-01-09T10:30:45+01:00";24567808
"controller";"2022-01-09T10:31:00+01:00";24567808
"controller";"2022-01-09T10:31:15+01:00";24567808
"controller";"2022-01-09T10:31:30+01:00";24567808
"controller";"2022-01-09T10:31:45+01:00";24567808
"controller";"2022-01-09T10:32:00+01:00";24567808
"controller";"2022-01-09T10:32:15+01:00";24567808
"controller";"2022-01-09T10:32:30+01:00";24567808
"controller";"2022-01-09T10:32:45+01:00";24567808
